"state","slug","code","nickname","website","admission_date","admission_number","capital_city","capital_url","population","population_rank","constitution_url","state_flag_url","state_seal_url","map_image_url","landscape_background_url","skyline_background_url","twitter_url","facebook_url"
"Alabama","alabama","AL","Yellowhammer State","http://www.alabama.gov","1819-12-14",22,"Montgomery","http://www.montgomeryal.gov",4833722,23,"http://alisondb.legislature.state.al.us/alison/default.aspx","https://cdn.civil.services/us-states/flags/alabama-large.png","https://cdn.civil.services/us-states/seals/alabama-large.png","https://cdn.civil.services/us-states/maps/alabama-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alabama.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alabama.jpg","https://twitter.com/alabamagov","https://www.facebook.com/alabamagov"
"Alaska","alaska","AK","The Last Frontier","http://alaska.gov","1959-01-03",49,"Juneau","http://www.juneau.org",735132,47,"http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt/query=*/doc/{t1}?","https://cdn.civil.services/us-states/flags/alaska-large.png","https://cdn.civil.services/us-states/seals/alaska-large.png","https://cdn.civil.services/us-states/maps/alaska-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alaska.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alaska.jpg","https://twitter.com/alaska","https://www.facebook.com/AlaskaLocalGovernments"
"Arizona","arizona","AZ","The Grand Canyon State","https://az.gov","1912-02-14",48,"Phoenix","https://www.phoenix.gov",6626624,15,"http://www.azleg.gov/Constitution.asp","https://cdn.civil.services/us-states/flags/arizona-large.png","https://cdn.civil.services/us-states/seals/arizona-large.png","https://cdn.civil.services/us-states/maps/arizona-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arizona.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arizona.jpg",,
"Arkansas","arkansas","AR","The Natural State","http://arkansas.gov","1836-06-15",25,"Little Rock","http://www.littlerock.org",2959373,32,"http://www.arkleg.state.ar.us/assembly/Summary/ArkansasConstitution1874.pdf","https://cdn.civil.services/us-states/flags/arkansas-large.png","https://cdn.civil.services/us-states/seals/arkansas-large.png","https://cdn.civil.services/us-states/maps/arkansas-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arkansas.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arkansas.jpg","https://twitter.com/arkansasgov","https://www.facebook.com/Arkansas.gov"
"California","california","CA","Golden State","http://www.ca.gov","1850-09-09",31,"Sacramento","http://www.cityofsacramento.org",38332521,1,"http://www.leginfo.ca.gov/const-toc.html","https://cdn.civil.services/us-states/flags/california-large.png","https://cdn.civil.services/us-states/seals/california-large.png","https://cdn.civil.services/us-states/maps/california-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/california.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/california.jpg","https://twitter.com/cagovernment",
"Colorado","colorado","CO","The Centennial State","https://www.colorado.gov","1876-08-01",38,"Denver","http://www.denvergov.org",5268367,22,"https://www.colorado.gov/pacific/archives/government","https://cdn.civil.services/us-states/flags/colorado-large.png","https://cdn.civil.services/us-states/seals/colorado-large.png","https://cdn.civil.services/us-states/maps/colorado-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/colorado.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/colorado.jpg","https://twitter.com/coloradogov","https://www.facebook.com/Colorado.gov"
"Connecticut","connecticut","CT","Constitution State","http://www.ct.gov","1788-01-09",5,"Hartford","http://www.hartford.gov",3596080,29,"http://www.ct.gov/sots/cwp/view.asp?a=3188&q=392288","https://cdn.civil.services/us-states/flags/connecticut-large.png","https://cdn.civil.services/us-states/seals/connecticut-large.png","https://cdn.civil.services/us-states/maps/connecticut-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/connecticut.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/connecticut.jpg",,
"Delaware","delaware","DE","The First State / The Diamond State","http://delaware.gov","1787-12-07",1,"Dover","http://www.cityofdover.com",925749,45,"http://www.state.de.us/facts/constit/welcome.htm","https://cdn.civil.services/us-states/flags/delaware-large.png","https://cdn.civil.services/us-states/seals/delaware-large.png","https://cdn.civil.services/us-states/maps/delaware-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/delaware.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/delaware.jpg","https://twitter.com/delaware_gov","https://www.facebook.com/delaware.gov"
"Florida","florida","FL","Sunshine State","http://www.myflorida.com","1845-03-03",27,"Tallahassee","https://www.talgov.com/Main/Home.aspx",19552860,4,"http://www.leg.state.fl.us/Statutes/index.cfm","https://cdn.civil.services/us-states/flags/florida-large.png","https://cdn.civil.services/us-states/seals/florida-large.png","https://cdn.civil.services/us-states/maps/florida-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/florida.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/florida.jpg",,
"Georgia","georgia","GA","Peach State","http://georgia.gov","1788-01-02",4,"Atlanta","http://www.atlantaga.gov",9992167,8,"http://sos.ga.gov/admin/files/Constitution_2013_Final_Printed.pdf","https://cdn.civil.services/us-states/flags/georgia-large.png","https://cdn.civil.services/us-states/seals/georgia-large.png","https://cdn.civil.services/us-states/maps/georgia-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/georgia.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/georgia.jpg","http://twitter.com/georgiagov","http://www.facebook.com/pages/georgiagov/29760668054"
"Hawaii","hawaii","HI","Aloha State","https://www.ehawaii.gov","1959-08-21",50,"Honolulu","http://www.co.honolulu.hi.us",1404054,40,"http://lrbhawaii.org/con","https://cdn.civil.services/us-states/flags/hawaii-large.png","https://cdn.civil.services/us-states/seals/hawaii-large.png","https://cdn.civil.services/us-states/maps/hawaii-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/hawaii.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/hawaii.jpg","https://twitter.com/ehawaiigov","https://www.facebook.com/ehawaii.gov"
"Idaho","idaho","ID","Gem State","https://www.idaho.gov","1890-07-03",43,"Boise","http://www.cityofboise.org",1612136,39,"http://www.legislature.idaho.gov/idstat/IC/Title003.htm","https://cdn.civil.services/us-states/flags/idaho-large.png","https://cdn.civil.services/us-states/seals/idaho-large.png","https://cdn.civil.services/us-states/maps/idaho-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/idaho.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/idaho.jpg","https://twitter.com/IDAHOgov",
"Illinois","illinois","IL","Prairie State","https://www.illinois.gov","1818-12-03",21,"Springfield","http://www.springfield.il.us",12882135,5,"http://www.ilga.gov/commission/lrb/conmain.htm","https://cdn.civil.services/us-states/flags/illinois-large.png","https://cdn.civil.services/us-states/seals/illinois-large.png","https://cdn.civil.services/us-states/maps/illinois-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/illinois.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/illinois.jpg",,
"Indiana","indiana","IN","Hoosier State","http://www.in.gov","1816-12-11",19,"Indianapolis","http://www.indy.gov/Pages/Home.aspx",6570902,16,"http://www.law.indiana.edu/uslawdocs/inconst.html","https://cdn.civil.services/us-states/flags/indiana-large.png","https://cdn.civil.services/us-states/seals/indiana-large.png","https://cdn.civil.services/us-states/maps/indiana-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/indiana.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/indiana.jpg","https://twitter.com/in_gov","https://www.facebook.com/IndianaGovernment"
"Iowa","iowa","IA","Hawkeye State","https://www.iowa.gov","1846-12-28",29,"Des Moines","http://www.ci.des-moines.ia.us",3090416,30,"http://publications.iowa.gov/135/1/history/7-7.html","https://cdn.civil.services/us-states/flags/iowa-large.png","https://cdn.civil.services/us-states/seals/iowa-large.png","https://cdn.civil.services/us-states/maps/iowa-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/iowa.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/iowa.jpg","https://twitter.com/IAGOVTWEETS",
"Kansas","kansas","KS","Sunflower State","https://www.kansas.gov","1861-01-29",34,"Topeka","http://www.topeka.org",2893957,34,"https://kslib.info/405/Kansas-Constitution","https://cdn.civil.services/us-states/flags/kansas-large.png","https://cdn.civil.services/us-states/seals/kansas-large.png","https://cdn.civil.services/us-states/maps/kansas-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/kansas.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/kansas.jpg","http://www.twitter.com/ksgovernment","http://www.facebook.com/pages/Topeka-KS/Kansasgov-Kansas-Government-Online/52068474220"
"Kentucky","kentucky","KY","Bluegrass State","http://kentucky.gov","1792-06-01",15,"Frankfort","http://frankfort.ky.gov",4395295,26,"http://www.lrc.state.ky.us/Legresou/Constitu/intro.htm","https://cdn.civil.services/us-states/flags/kentucky-large.png","https://cdn.civil.services/us-states/seals/kentucky-large.png","https://cdn.civil.services/us-states/maps/kentucky-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/kentucky.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/kentucky.jpg","https://twitter.com/kygov","https://www.facebook.com/kygov"
"Louisiana","louisiana","LA","Pelican State","http://louisiana.gov","1812-04-30",18,"Baton Rouge","http://brgov.com",4625470,25,"http://senate.legis.state.la.us/Documents/Constitution","https://cdn.civil.services/us-states/flags/louisiana-large.png","https://cdn.civil.services/us-states/seals/louisiana-large.png","https://cdn.civil.services/us-states/maps/louisiana-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/louisiana.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/louisiana.jpg",,
"Maine","maine","ME","Pine Tree State","http://www.maine.gov","1820-03-15",23,"Augusta","http://www.augustamaine.gov",1328302,41,"http://www.maine.gov/legis/const","https://cdn.civil.services/us-states/flags/maine-large.png","https://cdn.civil.services/us-states/seals/maine-large.png","https://cdn.civil.services/us-states/maps/maine-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/maine.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/maine.jpg","https://twitter.com/mainegov_news","http://www.facebook.com/pages/Augusta-ME/Mainegov/98519328240"
"Maryland","maryland","MD","Old Line State","http://www.maryland.gov","1788-04-28",7,"Annapolis","http://www.annapolis.gov",5928814,19,"http://msa.maryland.gov/msa/mdmanual/43const/html/const.html","https://cdn.civil.services/us-states/flags/maryland-large.png","https://cdn.civil.services/us-states/seals/maryland-large.png","https://cdn.civil.services/us-states/maps/maryland-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/maryland.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/maryland.jpg","https://twitter.com/statemaryland","https://www.facebook.com/statemaryland"
"Massachusetts","massachusetts","MA","Bay State","http://www.mass.gov","1788-02-06",6,"Boston","http://www.ci.boston.ma.us",6692824,14,"http://www.state.ma.us/legis/const.htm","https://cdn.civil.services/us-states/flags/massachusetts-large.png","https://cdn.civil.services/us-states/seals/massachusetts-large.png","https://cdn.civil.services/us-states/maps/massachusetts-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/massachusetts.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/massachusetts.jpg","http://twitter.com/massgov","https://www.facebook.com/massgov"
"Michigan","michigan","MI","Wolverine State / Great Lakes State","http://www.michigan.gov","1837-01-26",26,"Lansing","http://cityoflansingmi.com",9895622,9,"http://www.legislature.mi.gov/(S(hrowl12tg05hemnnkidim1jb))/mileg.aspx?page=GetObject&objectname=mcl-Constitution","https://cdn.civil.services/us-states/flags/michigan-large.png","https://cdn.civil.services/us-states/seals/michigan-large.png","https://cdn.civil.services/us-states/maps/michigan-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/michigan.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/michigan.jpg","https://twitter.com/migov","https://www.facebook.com/MIgovernment"
"Minnesota","minnesota","MN","North Star State / Land of 10,000 Lakes","https://mn.gov","1858-05-11",32,"Saint Paul","http://www.stpaul.gov",5420380,21,"http://www.house.leg.state.mn.us/cco/rules/mncon/preamble.htm","https://cdn.civil.services/us-states/flags/minnesota-large.png","https://cdn.civil.services/us-states/seals/minnesota-large.png","https://cdn.civil.services/us-states/maps/minnesota-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/minnesota.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/minnesota.jpg",,
"Mississippi","mississippi","MS","Magnolia State","http://www.ms.gov","1817-12-10",20,"Jackson","http://www.city.jackson.ms.us",2991207,31,"http://law.justia.com/constitution/mississippi","https://cdn.civil.services/us-states/flags/mississippi-large.png","https://cdn.civil.services/us-states/seals/mississippi-large.png","https://cdn.civil.services/us-states/maps/mississippi-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/mississippi.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/mississippi.jpg","https://twitter.com/msdotgov","https://www.facebook.com/msdotgov"
